year,month,week,country,product,store,num_sold
2015,1,1,Finland,Kaggle Hat,KaggleMart,3201
2015,1,1,Finland,Kaggle Hat,KaggleRama,5301
2015,1,1,Finland,Kaggle Mug,KaggleMart,2034
2015,1,1,Finland,Kaggle Mug,KaggleRama,3463
2015,1,1,Finland,Kaggle Sticker,KaggleMart,831
2015,1,1,Finland,Kaggle Sticker,KaggleRama,1570
2015,1,1,Norway,Kaggle Hat,KaggleMart,5428
2015,1,1,Norway,Kaggle Hat,KaggleRama,9293
2015,1,1,Norway,Kaggle Mug,KaggleMart,3475
2015,1,1,Norway,Kaggle Mug,KaggleRama,6013
2015,1,1,Norway,Kaggle Sticker,KaggleMart,1510
2015,1,1,Norway,Kaggle Sticker,KaggleRama,2594
2015,1,1,Sweden,Kaggle Hat,KaggleMart,3791
2015,1,1,Sweden,Kaggle Hat,KaggleRama,6798
2015,1,1,Sweden,Kaggle Mug,KaggleMart,2460
2015,1,1,Sweden,Kaggle Mug,KaggleRama,4175
2015,1,1,Sweden,Kaggle Sticker,KaggleMart,1029
2015,1,1,Sweden,Kaggle Sticker,KaggleRama,1877
2015,1,2,Finland,Kaggle Hat,KaggleMart,2568
2015,1,2,Finland,Kaggle Hat,KaggleRama,4281
2015,1,2,Finland,Kaggle Mug,KaggleMart,1509
2015,1,2,Finland,Kaggle Mug,KaggleRama,2707
2015,1,2,Finland,Kaggle Sticker,KaggleMart,688
2015,1,2,Finland,Kaggle Sticker,KaggleRama,1173
2015,1,2,Norway,Kaggle Hat,KaggleMart,3858
2015,1,2,Norway,Kaggle Hat,KaggleRama,7058
2015,1,2,Norway,Kaggle Mug,KaggleMart,2478
2015,1,2,Norway,Kaggle Mug,KaggleRama,4075
2015,1,2,Norway,Kaggle Sticker,KaggleMart,1089
2015,1,2,Norway,Kaggle Sticker,KaggleRama,1891
2015,1,2,Sweden,Kaggle Hat,KaggleMart,2956
2015,1,2,Sweden,Kaggle Hat,KaggleRama,5235
2015,1,2,Sweden,Kaggle Mug,KaggleMart,1914
2015,1,2,Sweden,Kaggle Mug,KaggleRama,3313
2015,1,2,Sweden,Kaggle Sticker,KaggleMart,842
2015,1,2,Sweden,Kaggle Sticker,KaggleRama,1411
2015,1,3,Finland,Kaggle Hat,KaggleMart,2302
2015,1,3,Finland,Kaggle Hat,KaggleRama,4003
2015,1,3,Finland,Kaggle Mug,KaggleMart,1359
2015,1,3,Finland,Kaggle Mug,KaggleRama,2427
2015,1,3,Finland,Kaggle Sticker,KaggleMart,614
2015,1,3,Finland,Kaggle Sticker,KaggleRama,1075
2015,1,3,Norway,Kaggle Hat,KaggleMart,3954
2015,1,3,Norway,Kaggle Hat,KaggleRama,6968
2015,1,3,Norway,Kaggle Mug,KaggleMart,2420
2015,1,3,Norway,Kaggle Mug,KaggleRama,4201
2015,1,3,Norway,Kaggle Sticker,KaggleMart,1069
2015,1,3,Norway,Kaggle Sticker,KaggleRama,1869
2015,1,3,Sweden,Kaggle Hat,KaggleMart,2736
2015,1,3,Sweden,Kaggle Hat,KaggleRama,4756
2015,1,3,Sweden,Kaggle Mug,KaggleMart,1607
2015,1,3,Sweden,Kaggle Mug,KaggleRama,2868
2015,1,3,Sweden,Kaggle Sticker,KaggleMart,732
2015,1,3,Sweden,Kaggle Sticker,KaggleRama,1219
2015,1,4,Finland,Kaggle Hat,KaggleMart,2287
2015,1,4,Finland,Kaggle Hat,KaggleRama,3982
2015,1,4,Finland,Kaggle Mug,KaggleMart,1358
2015,1,4,Finland,Kaggle Mug,KaggleRama,2390
2015,1,4,Finland,Kaggle Sticker,KaggleMart,611
2015,1,4,Finland,Kaggle Sticker,KaggleRama,1077
2015,1,4,Norway,Kaggle Hat,KaggleMart,3982
2015,1,4,Norway,Kaggle Hat,KaggleRama,6818
2015,1,4,Norway,Kaggle Mug,KaggleMart,2428
