year,country,product,store,num_sold
2015,Finland,Kaggle Hat,KaggleMart,120066
2015,Finland,Kaggle Hat,KaggleRama,209240
2015,Finland,Kaggle Mug,KaggleMart,67765
2015,Finland,Kaggle Mug,KaggleRama,117847
2015,Finland,Kaggle Sticker,KaggleMart,34134
2015,Finland,Kaggle Sticker,KaggleRama,59792
2015,Norway,Kaggle Hat,KaggleMart,208078
2015,Norway,Kaggle Hat,KaggleRama,361885
2015,Norway,Kaggle Mug,KaggleMart,116816
2015,Norway,Kaggle Mug,KaggleRama,202997
2015,Norway,Kaggle Sticker,KaggleMart,59107
2015,Norway,Kaggle Sticker,KaggleRama,102797
2015,Sweden,Kaggle Hat,KaggleMart,144665
2015,Sweden,Kaggle Hat,KaggleRama,252558
2015,Sweden,Kaggle Mug,KaggleMart,81342
2015,Sweden,Kaggle Mug,KaggleRama,141867
2015,Sweden,Kaggle Sticker,KaggleMart,41195
2015,Sweden,Kaggle Sticker,KaggleRama,71840
2016,Finland,Kaggle Hat,KaggleMart,125455
2016,Finland,Kaggle Hat,KaggleRama,218477
2016,Finland,Kaggle Mug,KaggleMart,70329
2016,Finland,Kaggle Mug,KaggleRama,122668
2016,Finland,Kaggle Sticker,KaggleMart,35566
2016,Finland,Kaggle Sticker,KaggleRama,62173
2016,Norway,Kaggle Hat,KaggleMart,199649
2016,Norway,Kaggle Hat,KaggleRama,348713
2016,Norway,Kaggle Mug,KaggleMart,112307
2016,Norway,Kaggle Mug,KaggleRama,197006
2016,Norway,Kaggle Sticker,KaggleMart,57177
2016,Norway,Kaggle Sticker,KaggleRama,99657
2016,Sweden,Kaggle Hat,KaggleMart,149080
2016,Sweden,Kaggle Hat,KaggleRama,259533
2016,Sweden,Kaggle Mug,KaggleMart,83254
2016,Sweden,Kaggle Mug,KaggleRama,146069
2016,Sweden,Kaggle Sticker,KaggleMart,42313
2016,Sweden,Kaggle Sticker,KaggleRama,73926
2017,Finland,Kaggle Hat,KaggleMart,136057
2017,Finland,Kaggle Hat,KaggleRama,235348
2017,Finland,Kaggle Mug,KaggleMart,76825
2017,Finland,Kaggle Mug,KaggleRama,134070
2017,Finland,Kaggle Sticker,KaggleMart,38720
2017,Finland,Kaggle Sticker,KaggleRama,67867
2017,Norway,Kaggle Hat,KaggleMart,219381
2017,Norway,Kaggle Hat,KaggleRama,382001
2017,Norway,Kaggle Mug,KaggleMart,123349
2017,Norway,Kaggle Mug,KaggleRama,216410
2017,Norway,Kaggle Sticker,KaggleMart,62498
2017,Norway,Kaggle Sticker,KaggleRama,109383
2017,Sweden,Kaggle Hat,KaggleMart,157946
2017,Sweden,Kaggle Hat,KaggleRama,274793
2017,Sweden,Kaggle Mug,KaggleMart,89334
2017,Sweden,Kaggle Mug,KaggleRama,154408
2017,Sweden,Kaggle Sticker,KaggleMart,44988
2017,Sweden,Kaggle Sticker,KaggleRama,78419
2018,Finland,Kaggle Hat,KaggleMart,148005
2018,Finland,Kaggle Hat,KaggleRama,255797
2018,Finland,Kaggle Mug,KaggleMart,83418
2018,Finland,Kaggle Mug,KaggleRama,145693
2018,Finland,Kaggle Sticker,KaggleMart,42128
2018,Finland,Kaggle Sticker,KaggleRama,73487
2018,Norway,Kaggle Hat,KaggleMart,241669
2018,Norway,Kaggle Hat,KaggleRama,421520
2018,Norway,Kaggle Mug,KaggleMart,136043
2018,Norway,Kaggle Mug,KaggleRama,237246
2018,Norway,Kaggle Sticker,KaggleMart,68971
2018,Norway,Kaggle Sticker,KaggleRama,120046
2018,Sweden,Kaggle Hat,KaggleMart,160781
2018,Sweden,Kaggle Hat,KaggleRama,281768
2018,Sweden,Kaggle Mug,KaggleMart,90698
2018,Sweden,Kaggle Mug,KaggleRama,158526
2018,Sweden,Kaggle Sticker,KaggleMart,46259
2018,Sweden,Kaggle Sticker,KaggleRama,80163
